Name,Pace,OffensiveRating,TrueShooting%,TotalRebound%,Steal%,Turnover%,OppTrueShooting%
SOUTHERN-INDIANA,68.8,99.1,.485,48.4,9.1,14.4,.528
SOUTHERN-METHODIST,71.0,118.8,.588,52.5,10.0,13.4,.547
SOUTHERN-MISSISSIPPI,69.9,106.1,.543,52.3,10.5,15.8,.543
SOUTHERN-UTAH,72.0,106.2,.559,50.1,7.8,17.1,.549
ST-BONAVENTURE,67.6,112.3,.557,52.6,11.0,14.3,.570
ST-JOHNS-NY,71.2,114.5,.552,52.8,11.0,12.4,.514
ST-THOMAS,70.0,118.1,.611,49.7,10.7,12.2,.530
STANFORD,67.9,111.8,.554,50.4,11.6,13.3,.557
STEPHEN-F-AUSTIN,66.8,115.2,.547,53.4,10.4,11.4,.508
STETSON,68.5,107.2,.562,48.5,9.1,16.1,.576
STONEHILL,67.1,97.5,.509,51.6,7.1,16.6,.501
STONY-BROOK,67.0,105.9,.535,48.1,10.0,14.4,.531
SYRACUSE,67.8,108.5,.548,48.0,9.0,13.9,.537
TARLETON-STATE,71.2,103.2,.538,48.8,14.4,17.2,.560
TCU,69.5,110.8,.545,52.0,11.3,13.3,.541
TEMPLE,65.6,112.9,.557,50.3,8.3,11.8,.538
TENNESSEE,67.5,117.1,.553,59.2,11.1,14.1,.517
TENNESSEE-STATE,72.0,111.5,.551,53.0,13.0,14.3,.543
TENNESSEE-TECH,69.6,105.4,.546,51.7,8.5,16.5,.537
TENNESSEE-MARTIN,66.9,103.8,.524,54.4,13.2,17.8,.488
TEXAS,69.2,120.9,.595,55.6,8.5,13.4,.553
TEXAS-AM,72.8,118.8,.580,50.2,11.0,12.5,.548
TEXAS-AM-CORPUS-CHRISTI,68.2,105.9,.545,53.0,11.1,16.6,.528
TEXAS-SOUTHERN,71.3,103.9,.544,49.9,9.5,16.5,.550
TEXAS-STATE,67.8,107.7,.550,53.6,12.2,15.9,.545
TEXAS-TECH,68.0,119.0,.588,52.3,8.5,13.6,.523
TEXAS-RIO-GRANDE-VALLEY,66.6,112.6,.586,50.5,9.0,15.7,.512
THE-CITADEL,65.1,106.1,.529,47.9,8.4,13.5,.586
TOLEDO,69.9,116.5,.577,49.4,11.0,12.5,.560
TOWSON,64.6,106.7,.508,53.9,9.2,13.2,.509
TROY,68.1,113.5,.562,52.4,11.3,14.3,.525
TULANE,68.4,105.2,.551,44.4,11.3,14.3,.545
TULSA,69.1,124.5,.615,54.3,9.2,12.8,.527
UAB,71.0,110.3,.523,52.5,11.1,10.6,.524
UC-DAVIS,71.5,108.1,.567,48.7,11.1,15.7,.557
UC-IRVINE,71.5,107.0,.542,52.3,10.8,15.0,.478
UC-RIVERSIDE,70.7,103.1,.536,49.4,7.6,16.1,.558
UC-SAN-DIEGO,69.6,109.1,.557,51.0,11.2,14.2,.519
UC-SANTA-BARBARA,67.3,113.7,.590,53.8,9.3,16.4,.560
UCF,70.8,115.6,.572,52.9,8.0,13.5,.564
UCLA,65.8,117.1,.576,49.8,9.5,11.7,.545
UNC-ASHEVILLE,67.5,107.5,.550,50.9,8.0,15.3,.537
UNC-GREENSBORO,69.0,112.6,.565,50.4,8.0,12.8,.573
UNC-WILMINGTON,67.0,114.9,.548,54.8,7.9,12.5,.510
UT-ARLINGTON,67.4,102.9,.530,54.0,10.9,17.6,.507
UTAH,68.0,108.8,.554,49.0,7.8,14.6,.566
UTAH-STATE,68.4,120.9,.603,51.5,12.6,13.4,.539
UTAH-TECH,68.8,108.8,.567,48.8,10.1,15.2,.527
UTAH-VALLEY,70.3,114.2,.587,54.0,13.5,17.0,.517
UTEP,66.8,102.6,.527,47.3,11.3,15.1,.550
UTSA,70.2,99.0,.491,46.6,9.4,14.5,.551
VALPARAISO,66.3,106.6,.523,50.8,8.8,13.3,.538
VANDERBILT,71.3,120.9,.598,50.9,11.5,11.8,.537
VERMONT,64.7,112.8,.570,52.8,7.1,12.7,.540
VILLANOVA,66.5,115.3,.565,50.3,11.1,13.0,.541
VIRGINIA,66.7,118.9,.573,55.5,9.7,13.3,.499
VIRGINIA-COMMONWEALTH,69.8,118.1,.584,52.0,10.6,13.3,.526
VMI,68.6,104.9,.523,45.1,10.2,12.7,.573
VIRGINIA-TECH,68.0,112.8,.558,49.8,9.2,12.9,.541
WAGNER,66.2,105.5,.535,52.8,8.2,16.1,.532
WAKE-FOREST,69.8,112.4,.567,48.6,11.3,13.4,.560
WASHINGTON,67.9,112.2,.550,53.2,8.4,13.2,.534
WASHINGTON-STATE,69.2,110.0,.579,51.5,8.1,16.5,.563
WEBER-STATE,70.7,113.6,.564,53.0,10.1,13.3,.564
WEST-GEORGIA,70.5,107.4,.531,50.7,9.1,13.5,.560
WEST-VIRGINIA,64.0,107.8,.542,51.2,9.9,14.6,.516
WESTERN-CAROLINA,69.1,112.6,.543,54.6,8.8,13.7,.574
WESTERN-ILLINOIS,67.2,96.2,.492,46.7,7.7,15.1,.565
WESTERN-KENTUCKY,71.0,110.5,.531,51.0,10.7,12.1,.543
WESTERN-MICHIGAN,69.7,106.9,.540,51.2,6.5,14.9,.568
WICHITA-STATE,67.1,113.9,.535,54.7,8.9,12.3,.514
WILLIAM--MARY,73.9,112.5,.591,49.4,10.8,14.7,.543
WINTHROP,72.1,115.6,.555,54.0,9.7,12.6,.540
WISCONSIN,69.0,119.1,.584,51.2,8.0,11.3,.545
WOFFORD,68.1,115.2,.562,50.5,8.5,11.8,.574
WRIGHT-STATE,69.0,116.5,.583,53.1,10.7,14.0,.549
WYOMING,67.6,114.3,.565,53.3,9.7,14.1,.562
XAVIER,71.3,109.1,.546,47.7,9.1,12.2,.566
YALE,66.3,121.7,.603,53.4,8.2,12.2,.538
YOUNGSTOWN-STATE,69.0,112.5,.577,51.0,10.4,15.8,.546
